date,actual_sales,forecasted_sales,lower_bound,upper_bound,error,error_pct
2017-07-17,818325.522,831405.9299598412,507140.2546299434,1155671.605289739,-13080.407959841192,1.6
2017-07-18,730133.709,739876.8239592233,415611.14862932556,1064142.499289121,-9743.114959223312,1.33
2017-07-19,767978.778,781000.4495871528,456734.774257255,1105266.1249170506,-13021.671587152756,1.7
2017-07-20,688288.068,667708.2135375988,343442.53820770106,991973.8888674966,20579.854462401127,2.99
2017-07-21,782418.299,801794.9365830763,477529.26125317847,1126060.6119129742,-19376.637583076255,2.48
2017-07-22,932902.047,1027029.8560130092,702764.1806831114,1351295.5313429069,-94127.80901300919,10.09
2017-07-23,1024288.741,1174800.992881349,850535.3175514513,1499066.6682112468,-150512.25188134902,14.69
2017-07-24,816564.327,842305.0414113937,518039.3660814959,1166570.7167412913,-25740.714411393623,3.15
2017-07-25,713581.633,741592.8754833159,417327.2001534181,1065858.5508132137,-28011.242483315873,3.93
2017-07-26,740653.044,782673.5535355933,458407.87820569554,1106939.2288654912,-42020.50953559333,5.67
2017-07-27,659849.827,669339.4447582159,345073.76942831813,993605.1200881137,-9489.61775821587,1.44
2017-07-28,835099.682,803385.3430235104,479119.66769361263,1127651.0183534082,31714.338976489613,3.8
2017-07-29,1032310.866,1028580.4593939437,704314.7840640459,1352846.1347238414,3730.406606056378,0.36
2017-07-30,1123752.478,1176312.7893528906,852047.1140229928,1500578.4646827884,-52560.31135289068,4.68
2017-07-31,885856.841,843779.002193027,519513.32686312916,1168044.6775229247,42077.83880697307,4.75
2017-08-01,988527.763,743029.9474878416,418764.2721579438,1067295.6228177394,245497.81551215844,24.83
2017-08-02,964712.016,784074.6599774507,459808.98464755295,1108340.3353073485,180637.3560225492,18.72
2017-08-03,728068.485,670705.4857465811,346439.8104166833,994971.1610764789,57362.99925341888,7.88
2017-08-04,827775.686,804717.1961405512,480451.52081065346,1128982.871470449,23058.489859448746,2.79
2017-08-05,965693.651,1029878.9802586025,705613.3049287047,1354144.6555885002,-64185.32925860258,6.65
2017-08-06,1049559.164,1177578.8121705574,853313.1368406597,1501844.4875004552,-128019.64817055734,12.2
2017-08-07,797464.964,845013.3402914556,520747.66496155784,1169279.0156213534,-47548.376291455585,5.96
2017-08-08,717766.349,744233.3938396542,419967.7185097564,1068499.069169552,-26467.044839654118,3.69
2017-08-09,734139.674,785247.9877095645,460982.3123796667,1109513.6630394622,-51108.31370956451,6.96
2017-08-10,651386.912,671849.4486368867,347583.7733069889,996115.1239667844,-20462.536636886653,3.14
2017-08-11,826373.722,805832.5291021601,481566.85377226234,1130098.204432058,20541.19289783982,2.49
2017-08-12,792630.535,1030966.3998119754,706700.7244820776,1355232.0751418732,-238335.8648119754,30.07
2017-08-13,865639.677,1178639.0169038167,854373.3415739189,1502904.6922337145,-312999.3399038167,36.16
2017-08-14,760922.406,846047.0113091771,521781.33597927936,1170312.686639075,-85124.60530917719,11.19
2017-08-15,762661.936,745241.1952004279,420975.5198705301,1069506.8705303257,17420.740799572086,2.28
