family,avg_daily_demand,std_daily_demand,safety_stock,reorder_point,eoq,annual_demand
GROCERY I,208329.75,77318.06,337531.0,1795839.0,55151.0,76040359.0
BEVERAGES,131629.18,70723.56,308743.0,1230147.0,43838.0,48044651.0
PRODUCE,74494.04,65413.28,285561.0,807019.0,32979.0,27190326.0
CLEANING,59038.61,18835.02,82224.0,495494.0,29359.0,21549093.0
DAIRY,39087.65,16174.05,70608.0,344221.0,23889.0,14266993.0
BREAD/BAKERY,25510.64,8203.26,35811.0,214386.0,19299.0,9311385.0
POULTRY,19295.99,7115.41,31062.0,166134.0,16785.0,7043037.0
MEATS,18795.13,5310.15,23181.0,154747.0,16565.0,6860222.0
PERSONAL CARE,14905.27,6262.43,27339.0,131675.0,14752.0,5440425.0
DELI,14599.54,5039.66,22001.0,124197.0,14600.0,5328832.0
HOME CARE,9744.37,8756.75,38228.0,106438.0,11928.0,3556696.0
EGGS,9430.64,3078.31,13438.0,79453.0,11734.0,3442183.0
FROZEN FOODS,8697.71,12950.96,56537.0,117421.0,11269.0,3174663.0
PREPARED FOODS,5324.66,1449.03,6326.0,43598.0,8817.0,1943501.0
"LIQUOR,WINE,BEER",4713.29,4040.65,17639.0,50632.0,8295.0,1720349.0
SEAFOOD,1218.31,368.01,1607.0,10135.0,4218.0,444684.0
GROCERY II,1190.6,509.85,2226.0,10560.0,4169.0,434568.0
HOME AND KITCHEN I,1131.28,948.54,4141.0,12060.0,4064.0,412917.0
HOME AND KITCHEN II,924.29,845.25,3690.0,10160.0,3674.0,337367.0
CELEBRATION,462.89,437.2,1909.0,5149.0,2600.0,168954.0
LADIESWEAR,397.0,409.66,1788.0,4567.0,2408.0,144904.0
LINGERIE,394.65,132.51,578.0,3341.0,2400.0,144048.0
PLAYERS AND ELECTRONICS,342.69,330.62,1443.0,3842.0,2237.0,125080.0
AUTOMOTIVE,336.34,130.6,570.0,2925.0,2216.0,122764.0
LAWN AND GARDEN,332.33,350.56,1530.0,3857.0,2203.0,121299.0
PET SUPPLIES,217.11,210.93,921.0,2441.0,1780.0,79244.0
BEAUTY,205.24,115.42,504.0,1941.0,1731.0,74914.0
SCHOOL AND OFFICE SUPPLIES,162.99,435.99,1903.0,3044.0,1543.0,59491.0
MAGAZINES,162.68,193.55,845.0,1984.0,1541.0,59377.0
HARDWARE,62.63,23.41,102.0,541.0,956.0,22861.0
HOME APPLIANCES,25.13,14.85,65.0,241.0,606.0,9174.0
BABY CARE,6.13,8.35,36.0,79.0,299.0,2239.0
BOOKS,3.88,13.21,58.0,85.0,238.0,1418.0
