family,stockout_incidents,overstock_incidents,est_stockout_cost,est_overstock_cost,total_inventory_cost
PRODUCE,708,653,991348834.87,332774809.8,1324123644.68
BEVERAGES,429,341,1054525560.0,32031058.66,1086556618.66
GROCERY I,235,0,1009914408.9,0.0,1009914408.9
FROZEN FOODS,85,69,271913153.01,642987.33,272556140.34
CLEANING,223,0,188130510.0,0.0,188130510.0
HOME CARE,501,624,123854040.0,41856872.16,165710912.16
DAIRY,304,220,159778050.0,3735463.0,163513513.0
PERSONAL CARE,244,0,62875185.0,0.0,62875185.0
BREAD/BAKERY,192,0,56199799.72,0.0,56199799.72
POULTRY,143,28,42233579.94,99307.12,42332887.06
DELI,196,0,39246050.85,0.0,39246050.85
"LIQUOR,WINE,BEER",113,15,36971805.0,72743.45,37044548.45
MEATS,90,0,25303645.3,0.0,25303645.3
HOME AND KITCHEN II,468,524,17367180.0,3271969.72,20639149.72
HOME AND KITCHEN I,321,510,15756705.0,3949005.6,19705710.6
EGGS,129,0,14379915.0,0.0,14379915.0
SCHOOL AND OFFICE SUPPLIES,161,988,11199045.0,828074.84,12027119.84
LAWN AND GARDEN,260,335,9679200.0,134105.85,9813305.85
GROCERY II,208,10,9310695.0,4120.0,9314815.0
CELEBRATION,606,655,5655960.0,2084590.65,7740550.65
PREPARED FOODS,162,0,7639552.85,0.0,7639552.85
PLAYERS AND ELECTRONICS,485,653,5817180.0,1541859.99,7359039.99
MAGAZINES,542,828,5586225.0,768155.28,6354380.28
LADIESWEAR,475,654,3855165.0,1786096.0,5641261.0
PET SUPPLIES,461,658,4538715.0,979192.66,5517907.66
BEAUTY,346,12,1874475.0,428.16,1874903.16
LINGERIE,229,0,1685190.0,0.0,1685190.0
SEAFOOD,123,0,1280833.77,0.0,1280833.77
AUTOMOTIVE,216,0,1060995.0,0.0,1060995.0
BOOKS,172,1414,408510.0,37676.24,446186.24
BABY CARE,478,854,209730.0,34115.14,243845.14
HARDWARE,291,19,226605.0,1105.79,227710.79
HOME APPLIANCES,375,329,162960.0,28748.39,191708.39
